STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,CLIMATE_ZONE
SPE00119747,42.8717,-2.7331,513.0,"VITORIA FORONDA, SP",17.320855217783436,6.236596105894212,11.732113109448777,39053.7,11.084259111889226,66229.6,2789,198,Templado-Húmedo
SPE00119783,36.8464,-2.3567,21.0,"ALMERIA AEROPUERTO, SP",23.258579229737496,14.697600114964551,17.138201762789805,11422.5,8.560979114772945,167299.3,27,444,Templado-Húmedo
SPE00119792,43.5667,-6.0442,127.0,"ASTURIAS AVILES, SP",17.065888009324464,9.878966538779078,12.67485309115633,62484.3,7.186921470545384,80097.3,189,2,Templado-Húmedo
SPE00119819,43.5606,-5.6983,5.0,"GIJON MUSEL, SP",17.90770101171459,10.53290734824281,9.482567891373803,35886.7,7.374793663471778,48130.7,1372,1,Frío-Húmedo
SPE00119828,43.3542,-5.8728,336.0,"OVIEDO, SP",17.28615027278129,9.071252633284718,12.526289634311025,51209.5,8.21489763949657,65783.4,512,13,Templado-Húmedo
SPE00119837,40.6592,-4.68,1130.0,"AVILA, SP",16.93519986694018,5.417286688473693,7.6048844042800905,19563.5,11.517913178466486,47434.6,4227,85,Frío-Húmedo
SPE00119909,42.3558,-3.6325,890.0,"BURGOS VILLAFRIA, SP",16.17322486692779,4.662666131030096,6.87579257473804,45439.1,11.510558735897694,65936.8,6933,223,Frío-Húmedo
SPE00119936,36.5008,-6.2567,1.0,"CADIZ, SP",21.54032231540865,15.412995395494162,3.3450460450583783,38130.4,6.127326919914488,37600.8,118,120,Frío-Húmedo
SPE00119945,36.7506,-6.0556,27.0,"JEREZ DE LA FRONTERA, SP",24.13988039618763,11.508689964492618,13.070308353578769,44236.5,12.63119043169501,162347.0,642,2430,Templado-Húmedo
SPE00119954,36.6389,-6.3317,21.0,"ROTA, SP",23.263025398966057,13.18634899228291,0.0,19421.4,10.076676406683148,0.0,55,420,Frío-Húmedo
SPE00119990,43.4292,-3.8314,5.0,"SANTANDER PARAYAS, SP",17.464137122765894,9.93769620359131,11.179146959105939,86957.1,7.526440919174585,94228.6,1677,33,Templado-Húmedo
SPE00120035,38.9892,-3.9194,628.0,"CIUDAD REAL, SP",21.73521034621578,9.00944041867955,14.482981078904992,21935.9,12.725769927536232,124321.4,2168,1930,Templado-Húmedo
SPE00120062,40.0667,-2.1381,945.0,"CUENCA, SP",18.617203375942314,6.528351360209768,7.81074237954769,39612.2,12.088852015732547,75654.9,5046,639,Frío-Húmedo
SPE00120080,41.9117,2.7631,143.0,"GIRONA COSTA BRAVA, SP",20.987620058370922,8.593446537543114,14.35848766250995,36461.0,12.394173520827806,101398.4,2225,281,Templado-Húmedo
SPE00120089,37.1894,-3.7892,567.0,"GRANADA AEROPUERTO, SP",23.386545643153525,7.832733402489627,15.686390041493775,19065.3,15.5538122406639,128163.1,2621,2244,Templado-Húmedo
SPE00120107,40.6608,-3.1742,639.0,"GUADALAJARA, SP",20.616383456235972,5.922202629047772,7.602981724911831,14083.1,14.694180827188202,38689.7,3272,889,Frío-Húmedo
SPE00120152,37.2594,-6.9492,17.0,"HUELVA, SP",23.693554733086593,12.20163715781401,5.523893834817112,38088.9,11.49191757527258,77967.4,1204,1268,Frío-Húmedo
SPE00120161,42.0831,0.3264,541.0,"HUESCA, SP",19.42936141304348,8.293505434782608,0.0,38884.0,11.135855978260869,0.0,2925,776,Frío-Húmedo
