YEAR,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,RAIN_DAY
2011,20.269237981896207,9.542955029030978,8.826769807782465,44200.1,10.72628295286523,101120.0,2954,672,4804
2012,19.8558547803799,8.766047540465573,8.712492538885574,41932.1,11.089807239914329,102941.8,4320,1076,4917
2013,19.335656686066894,8.719058972021598,8.494306149638875,56306.6,10.616597714045298,99453.7,3982,718,6118
2014,20.19137656585231,9.548799224859852,8.968544535954045,55369.6,10.642577340992457,106734.1,2803,482,6267
2015,20.69473377646817,9.381309531967382,10.078568491742615,39404.4,11.313424244500787,123054.5,3549,1198,4494
2016,20.15760597637248,9.362727588603196,10.14370743571925,50278.5,10.794878387769284,116268.8,2968,1226,5627
2017,20.6528132804466,9.3242801527839,10.350433377405611,37275.6,11.3285331276627,116316.6,3207,1156,4445
2018,19.5328482025906,9.39015427157619,10.139852277688837,62114.4,10.142693931014408,109787.5,2872,743,6817
2019,20.490928045789044,9.590044971381849,11.312755519215045,43265.5,10.900883074407194,108656.1,2425,897,4595
2020,20.543393409035662,9.754783484390735,10.694450810848352,53499.9,10.788609924644927,124948.1,2708,1113,5666
2021,20.075437376091266,9.280772842683733,10.241156829327675,45407.5,10.794664533407534,117450.1,3171,868,5309
2022,21.4756914727064,10.125195699822566,10.841944125526215,42658.5,11.350495772883832,133354.5,3313,1890,5029
2023,21.386230612674574,9.93125833391817,10.637851779072216,41474.1,11.454972278756404,131533.7,3698,1421,4778
2024,20.728376596621345,9.796299958796869,11.16128965801401,44470.0,10.932076637824474,112229.0,2273,1048,4916
2025,16.531538461538464,5.853901098901099,11.345576923076923,19237.2,10.677637362637363,25123.8,1972,191,2289
